driver_id,name,phone,license_type,years_experience,assigned_ambulance_id,assigned_base_id,status,acceptance_rate_pct
DRV0001,Muthu Sharma,9967797300,Commercial - Ambulance,18,AMB0001,A001,ON_DUTY,89.1
DRV0002,Praveen Iyer,9986625773,Commercial - Ambulance,9,AMB0002,A001,ON_DUTY,69.2
DRV0003,Dinesh Raj,9399496923,Commercial - Ambulance,15,AMB0003,A002,ON_DUTY,65.7
DRV0004,Praveen Sharma,9755338677,Commercial - Ambulance,13,AMB0004,A002,ON_DUTY,69.8
DRV0005,Rajesh Nair,9295249057,Commercial - Ambulance,16,AMB0005,A002,ON_DUTY,64.3
DRV0006,Divya Pillai,9465436049,Commercial - Ambulance,9,AMB0006,A003,ON_DUTY,93.7
DRV0007,Deepa Pillai,9696776072,Commercial - Ambulance,1,AMB0007,A003,ON_DUTY,77.7
DRV0008,Sathish Raj,9359154084,Commercial - Ambulance,14,AMB0008,A004,ON_DUTY,76.5
DRV0009,Meena Moorthy,9841536135,Commercial - Ambulance,16,AMB0009,A004,ON_DUTY,83.4
DRV0010,Rajesh Chettiar,9951405188,Commercial - Ambulance,1,AMB0010,A004,ON_DUTY,59.1
DRV0011,Dinesh Iyer,9842800803,Commercial - Ambulance,8,AMB0011,A005,OFF_DUTY,68.5
DRV0012,Yogesh Nair,9608159580,Commercial - Ambulance,18,AMB0012,A005,ON_DUTY,78.4
DRV0013,Naveen Reddy,9455184454,Commercial - Ambulance,12,AMB0013,A006,ON_DUTY,85.9
DRV0014,Muthu Pillai,9369942642,Commercial - Ambulance,8,AMB0014,A006,ON_DUTY,60.3
DRV0015,Sathish Nair,9228370927,Commercial - Ambulance,18,AMB0015,A006,ON_DUTY,96.8
DRV0016,Deepa Prasad,9305665554,Commercial - Ambulance,7,AMB0016,A006,ON_DUTY,87.5
DRV0017,Muthu Sharma,9916267011,Commercial - Ambulance,17,AMB0017,A007,ON_DUTY,81.3
DRV0018,Suresh Moorthy,9418092217,Commercial - Ambulance,8,AMB0018,A007,ON_DUTY,70.9
DRV0019,Senthil Kumar,9860229059,Commercial - Ambulance,18,AMB0019,A007,ON_DUTY,60.6
DRV0020,Karthik Kumar,9694164665,Commercial - Ambulance,10,AMB0020,A008,ON_DUTY,85.7
DRV0021,Ramesh Chettiar,9210152642,Commercial - Ambulance,1,AMB0021,A008,OFF_DUTY,80.3
DRV0022,Rajesh Chettiar,9572949775,Commercial - Ambulance,11,AMB0022,A008,ON_DUTY,63.1
DRV0023,Karthik Pillai,9612957813,Commercial - Ambulance,4,AMB0023,A009,ON_DUTY,91.2
DRV0024,Manoj Chettiar,9179545125,Commercial - Ambulance,2,AMB0024,A009,ON_DUTY,61.7
DRV0025,Divya Sharma,9426240903,Commercial - Ambulance,3,AMB0025,A009,ON_DUTY,98.7
DRV0026,Suresh Reddy,9920814900,Commercial - Ambulance,14,AMB0026,A010,ON_DUTY,81.7
DRV0027,Divya Sharma,9342329714,Commercial - Ambulance,17,AMB0027,A010,OFF_DUTY,71.7
DRV0028,Nithya Chettiar,9419280490,Commercial - Ambulance,14,AMB0028,A010,ON_DUTY,68.4
DRV0029,Kannan Kumar,9754586204,Commercial - Ambulance,4,AMB0029,A010,ON_DUTY,96.7
DRV0030,Sathish Moorthy,9384161612,Commercial - Ambulance,3,AMB0030,A011,ON_DUTY,61.9
DRV0031,Prakash Reddy,9180600295,Commercial - Ambulance,6,AMB0031,A011,ON_DUTY,55.1
DRV0032,Praveen Sharma,9604564682,Commercial - Ambulance,10,AMB0032,A011,ON_DUTY,56.4
DRV0033,Senthil Pillai,9854827139,Commercial - Ambulance,15,AMB0033,A012,ON_DUTY,58.1
DRV0034,Dinesh Pillai,9945923902,Commercial - Ambulance,7,AMB0034,A012,ON_DUTY,73.7
DRV0035,Vignesh Moorthy,9795392488,Commercial - Ambulance,5,AMB0035,A012,ON_DUTY,95.0
DRV0036,Anitha Prasad,9176675731,Commercial - Ambulance,2,AMB0036,A012,ON_DUTY,62.3
DRV0037,Senthil Sharma,9904187231,Commercial - Ambulance,10,AMB0037,A013,ON_DUTY,74.3
